num_shots,launch_velo_mean,launch_velo_std,launch_velo_inconsistency_zscore,launch_velo_inconsistency_percentile,launch_velo_consistency_percentile,launch_angle_mean,launch_angle_std,launch_angle_inconsistency_zscore,launch_angle_inconsistency_percentile,launch_angle_consistency_percentile,launch_distance_inconsistency_zscore,launch_distance_inconsistency_percentile,launch_distance_consistency_percentile,dist_from_sweet_mean,dist_from_sweet_std,shooting_percentage,shooting_percentage_zscore,shooting_percentage_percentile,command,command_zscore,command_percentile,inconsistency_score,inconsistency_score_percentile,consistency_score_percentile
403,15.01285859,0.263931268,-0.0398797,46.98863758,53.01136242,49.46881482,1.278608351,-1.139318884,15.87101696,84.12898304,0.551928188,48.54948475,51.45051525,0.305521973,0.165664868,0.908188586,1.634100809,95.42839474,0.742089455,1.955012492,97.06904624,-1.179198585,35.47525083,64.52474917
354,14.85143436,0.263719834,-0.046282748,46.88987518,53.11012482,47.74973308,1.530718455,-0.229585335,30.70221949,69.29778051,0.33268778,45.18518789,54.81481211,0.387619109,0.217696024,0.830508475,0.658500424,78.61526848,0.692248788,-0.05598408,64.00648509,-0.275868083,44.82591493,55.17408507
203,14.7303555,0.288049759,0.690523188,58.25457629,41.74542371,48.75342975,1.514218286,-0.28912582,29.73154298,70.26845702,1.440335272,62.18230542,37.81769458,0.298444727,0.161984775,0.926108374,1.859159097,99.30696374,0.746507767,2.133284767,100,0.401397368,51.83650711,48.16349289
214,14.73461918,0.225234646,-1.211765823,28.91313783,71.08686217,49.21399021,1.167671129,-1.539633313,9.3447716,90.6552284,-1.017467709,24.46672672,75.53327328,0.340643494,0.19537543,0.845794393,0.850479391,81.92376103,0.718032183,0.984337428,81.11029021,-2.751399135,19.20089805,80.79910195
400,14.26944844,0.290818091,0.774359193,59.5476863,40.4523137,45.06466601,1.757150767,0.587490485,44.02284177,55.97715823,1.393781502,61.46792661,38.53207339,0.344164007,0.189166366,0.86,1.028890517,84.99843058,0.718016934,0.983722187,81.10017511,1.361849678,61.77845741,38.22154259
269,14.53135852,0.23556787,-0.898835108,33.73986881,66.26013119,48.19502005,1.28487715,-1.116698065,16.23979961,83.76020039,-0.928014163,25.83941293,74.16058707,0.395035404,0.216969751,0.817843866,0.49944302,75.87413363,0.689323264,-0.174024592,62.06579474,-2.015533173,26.81808293,73.18191707
364,14.41873541,0.275573045,0.312679163,52.42660423,47.57339577,46.46802088,1.695524215,0.365112481,40.39745802,59.60254198,0.631908337,49.7767994,50.2232006,0.31866632,0.182003859,0.876373626,1.234530236,88.54234734,0.731540103,1.529361873,90.07097383,0.677791644,54.69755302,45.30244698
104,15.05645448,0.315306531,1.515965612,70.9864314,29.0135686,49.20766939,1.44160167,-0.551161219,25.45963274,74.54036726,1.925847366,69.63260543,30.36739457,0.350305416,0.203546166,0.798076923,0.251185943,71.59576552,0.711668791,0.727584084,76.8890383,0.964804393,57.66851416,42.33148584
823,14.68128022,0.260173253,-0.153687212,45.23323864,54.76676136,46.70788691,1.42767843,-0.601402912,24.64055254,75.35944746,0.229742452,43.60546704,56.39453296,0.314609339,0.184886605,0.849331713,0.894905324,82.68938069,0.732646991,1.574023153,90.80524475,-0.755090124,39.86533369,60.13466631
145,14.98748727,0.312683552,1.436531478,69.76121708,30.23878292,45.54844251,1.755797601,0.582607616,43.94323733,56.05676267,2.357313835,76.25356232,23.74643768,0.359619732,0.208496496,0.786206897,0.102107855,69.0266104,0.706369954,0.513783893,73.37397418,2.019139094,68.58227123,31.41772877
